High,Low,Open,Close,Volume
2.798810005,0.714725018,2.793760061,0.753324986,674188
0.879809976,0.629190981,0.706135988,0.701897025,532170
0.729853988,0.636546016,0.713989019,0.708447993,405283
1.131410003,0.663235009,0.708087027,1.067860007,1463100
1.28994,0.883607984,1.058750033,1.217440009,2150620
1.965070009,1.171990037,1.222239971,1.827669978,4068680
2.261879921,1.754750013,1.81092,1.827870011,4637030
1.877239943,1.570979953,1.802889943,1.688899994,2554360
1.695240021,1.089810014,1.684350014,1.566030025,3550790
1.58118999,1.185340047,1.58118999,1.203609943,1942830
1.331159949,1.087049961,1.215299964,1.087049961,1485680
1.317989945,1.16692996,1.16692996,1.258859992,1486240
1.533300042,1.248329997,1.251180053,1.464920044,2843760
1.556419969,1.352800012,1.477519989,1.395290017,2020970
1.476410031,1.352679968,1.396289945,1.379230022,948310
1.409700036,1.297770023,1.375,1.352589965,1589300
1.362779975,1.231269956,1.345589995,1.231269956,924920
1.241819978,1.12864995,1.228610039,1.140190005,1307180
1.202479959,1.061830044,1.132789969,1.159980059,1056750
1.188830018,1.137290001,1.169810057,1.147699952,686662
1.207790017,1.120499969,1.147660017,1.191380024,721872
1.207209945,1.149489999,1.193529963,1.182549953,375377
1.367990017,1.170609951,1.182989955,1.319270015,1337650
1.396149993,1.201009989,1.321380019,1.358240008,1447180
1.392740011,1.336629987,1.353479981,1.351609945,778862
1.354910016,1.264619946,1.35157001,1.29479003,883769
1.309990048,1.211030006,1.295189977,1.26493001,702991
1.302520037,1.236809969,1.26493001,1.274410009,474391
1.342300057,1.271190047,1.280560017,1.338809967,448453
1.373639941,1.294250011,1.338009953,1.295830011,491968
1.305480003,1.237849951,1.295899987,1.246649981,489014
1.282379985,1.230610013,1.246649981,1.242429972,427892
1.260480046,1.201840043,1.239349961,1.206509948,366748
1.221570015,1.136150002,1.207610011,1.165770054,662782
1.169070005,0.94067502,1.16497004,0.982977986,1942600
1.114889979,0.969780028,0.987227976,1.038740039,772430
1.042700052,0.902831972,1.041779995,0.936003029,644138
0.949387014,0.871760011,0.940566003,0.875621974,741085
1.045539975,0.875189006,0.875189006,0.944410026,703390
0.952697992,0.901638985,0.941977024,0.907175004,615593
0.909204006,0.831131995,0.906865001,0.874230981,897940
0.888101995,0.833908021,0.874574006,0.853685021,484622
0.911882997,0.833783984,0.849602997,0.882390976,386988
0.947740972,0.873205006,0.881191015,0.938444972,508314
0.957325995,0.878301024,0.941496015,0.919046998,424039
0.919336975,0.865225017,0.919336975,0.901795983,487914
0.908909976,0.885136008,0.903559983,0.893405974,200541
0.908571005,0.793460011,0.896795988,0.813610017,842505
0.825664997,0.712745011,0.820030987,0.736222982,903457
0.787544012,0.709327996,0.73763001,0.785964012,369620
0.791276991,0.719169021,0.791276991,0.720839024,413801
0.725677013,0.55706197,0.723715007,0.582885981,1320890
0.675830007,0.558345973,0.57941401,0.661145985,913992
0.746721983,0.63586098,0.661192,0.738644004,619926
0.734306991,0.655906022,0.734306991,0.690214992,596084
0.691120028,0.654604971,0.683731973,0.678574026,219318
0.709204018,0.675481975,0.678783,0.687170982,163326
0.693126023,0.660715997,0.686343014,0.668379009,103497
0.674438,0.624450028,0.666783988,0.628642976,234263
0.653944016,0.606230021,0.622218013,0.650645018,262674
0.656301022,0.602423012,0.65051502,0.609387994,218327
0.633138001,0.59197098,0.609501004,0.621716022,310266
0.692296028,0.63211602,0.655084014,0.650627971,386420
